Number of job listings,State,City
2.0,AZ,Mesa
2.0,NJ,Hoboken
2.0,NY,Bronx
2.0,NJ,South Plainfield
2.0,NJ,Fairfield
2.0,NY,Manhasset
2.0,CA,Berkeley
2.0,IL,Rolling Meadows
2.0,PA,Feasterville Trevose
2.0,IL,Broadview
2.0,CA,Marina del Rey
2.0,CA,Northridge
2.0,OH,Westerville
2.0,CA,Irwindale
2.0,TX,Stafford
2.0,PA,Plymouth Meeting
2.0,IL,Oak Brook
2.0,IN,Carmel
2.0,NJ,Marlton
2.0,AZ,DC Ranch
2.0,WA,Bellevue
2.0,CA,Walnut Creek
2.0,NJ,Parsippany
2.0,NJ,Haworth
2.0,PA,Berwyn
2.0,PA,Allegheny West
2.0,NJ,Whippany
2.0,TX,Westlake
2.0,KS,Topeka
1.0,NJ,Montvale
1.0,CA,Alameda
1.0,NJ,Secaucus
1.0,CA,Inglewood
1.0,CA,San Bruno
1.0,TX,Roanoke
1.0,CA,Reedley
1.0,IN,Lawrence
1.0,IL,Northfield
1.0,NJ,Iselin
1.0,NY,Great Neck
1.0,PA,Norristown
1.0,IN,Beech Grove
1.0,PA,Paoli
1.0,NY,Far Rockaway
1.0,TX,Farmers Branch
1.0,CA,Emeryville
1.0,CO,Henderson
1.0,CA,Novato
1.0,UT,American Fork
1.0,VA,Smithfield
1.0,IN,Whitestown
1.0,NY,Queens Village
1.0,CA,Millbrae
1.0,CA,East Palo Alto
1.0,KS,Burlingame
1.0,NJ,Moorestown
1.0,TX,Fort Sam Houston
1.0,VA,Fort Eustis
1.0,PA,Boothwyn
1.0,TX,Coppell
1.0,CA,Torrance
1.0,PA,Ridley Park
1.0,IL,Northlake
1.0,IL,Burr Ridge
1.0,NY,Valley Stream
1.0,PA,Conshohocken
1.0,PA,Radnor
1.0,CA,Monterey Park
1.0,UT,Sandy
1.0,TX,Spring
1.0,IL,Bridgeview
1.0,UT,West Jordan
1.0,NC,Indian Trail
1.0,TX,Southlake
1.0,CA,Carson
1.0,TX,Tarrant
1.0,IL,Arlington Heights
1.0,TX,West Lake Hills
1.0,CA,Panorama City
1.0,CA,Duarte
1.0,IL,Itasca
1.0,NY,Mount Vernon
1.0,VA,Yorktown
1.0,CA,Whittier
1.0,PA,Chester Township
1.0,CO,Littleton
1.0,IL,Glenview
1.0,PA,West Conshohocken
1.0,NJ,Essex Fells
1.0,CA,Campbell
1.0,NJ,Little Ferry
1.0,NJ,Fort Lee
1.0,PA,Exton
1.0,CO,Lone Tree
1.0,CA,El Cajon
1.0,PA,Newtown
1.0,VA,Suffolk
1.0,PA,Newtown Square
1.0,PA,Blue Bell
1.0,TX,Addison
1.0,CA,National City
1.0,NJ,Woodbridge
1.0,CA,Hercules
1.0,IL,Evanston
1.0,CA,Hanford
1.0,PA,Fort Washington
1.0,CA,Hermosa Beach
1.0,CA,Signal Hill
1.0,NJ,Berkeley Heights
1.0,IL,Elk Grove Village
1.0,NJ,Woodcliff Lake
1.0,IL,Maywood
1.0,NY,Staten Island
1.0,CA,Daly City
1.0,IN,Jeffersonville
1.0,TX,Carrollton
1.0,CA,Azusa
1.0,CA,San Fernando
1.0,UT,Riverton
1.0,IL,Des Plaines
1.0,TX,Cedar Park
1.0,NY,Harrison
1.0,CA,Pico Rivera
1.0,CA,Marin City
1.0,CA,Visalia
1.0,PA,Bensalem
1.0,FL,Alachua
1.0,VA,Virginia Beach
